exp,fold,threshold,accuracy,prec_benign,rec_benign,f1_benign,prec_malignant,rec_malignant,f1_malignant,macro_prec,macro_rec,macro_f1,weighted_prec,weighted_rec,weighted_f1,auc,mcc
ImgSE_BidirCrossAttn,5,0.8700000000000007,0.8,0.6311475409836066,0.8020833333333334,0.7064220183486238,0.9040404040404041,0.7991071428571429,0.8483412322274881,0.7675939725120053,0.8005952380952381,0.777381625288056,0.8221725451233649,0.8,0.8057654680638289,0.864443824404762,0.5672300199393429
Img_SE_Add,1,0.42000000000000026,0.80625,0.6847826086956522,0.65625,0.6702127659574468,0.8552631578947368,0.8705357142857143,0.8628318584070797,0.7700228832951945,0.7633928571428572,0.7665223121822633,0.8041189931350115,0.80625,0.8050461306721898,0.8518880208333333,0.533374535294191
Img_SE_Add,2,0.7900000000000006,0.778125,0.5968992248062015,0.8020833333333334,0.6844444444444444,0.900523560209424,0.7678571428571429,0.8289156626506025,0.7487113925078128,0.7849702380952381,0.7566800535475234,0.8094362595884572,0.778125,0.7855742971887552,0.8716052827380952,0.5324484754037695
Img_SE_Add,3,0.2500000000000001,0.809375,0.6842105263157895,0.6770833333333334,0.680628272251309,0.8622222222222222,0.8660714285714286,0.8641425389755011,0.7732163742690059,0.7715773809523809,0.772385405613405,0.8088187134502924,0.809375,0.8090882589582435,0.8410063244047619,0.5447912897882348
Img_SE_Add,4,0.3600000000000002,0.825,0.7,0.7291666666666666,0.7142857142857143,0.8818181818181818,0.8660714285714286,0.8738738738738738,0.7909090909090909,0.7976190476190477,0.7940797940797941,0.8272727272727274,0.825,0.8259974259974259,0.8371465773809523,0.5884898863364997
Img_SE_Add,5,0.8200000000000006,0.771875,0.583941605839416,0.8333333333333334,0.6866952789699571,0.912568306010929,0.7455357142857143,0.8206388206388207,0.7482549559251725,0.7894345238095238,0.7536670498043889,0.8139802959594752,0.771875,0.7804557581381616,0.8407273065476192,0.5361102683275396
Img_SE_Gated,1,0.27000000000000013,0.809375,0.6767676767676768,0.6979166666666666,0.6871794871794872,0.8687782805429864,0.8571428571428571,0.8629213483146068,0.7727729786553317,0.7775297619047619,0.775050417747047,0.8111750994103936,0.809375,0.810198789974071,0.8632347470238095,0.5502821815042419
Img_SE_Gated,2,0.3500000000000002,0.815625,0.6907216494845361,0.6979166666666666,0.694300518134715,0.8699551569506726,0.8660714285714286,0.8680089485458613,0.7803384032176044,0.7819940476190477,0.7811547333402882,0.8161851047108316,0.815625,0.8158964194225173,0.8362630208333334,0.5623300135201496
Img_SE_Gated,3,0.6100000000000004,0.8,0.6311475409836066,0.8020833333333334,0.7064220183486238,0.9040404040404041,0.7991071428571429,0.8483412322274881,0.7675939725120053,0.8005952380952381,0.777381625288056,0.8221725451233649,0.8,0.8057654680638289,0.8798363095238095,0.5672300199393429
Img_SE_Gated,4,0.4700000000000003,0.83125,0.71875,0.71875,0.71875,0.8794642857142857,0.8794642857142857,0.8794642857142857,0.7991071428571428,0.7991071428571428,0.7991071428571428,0.83125,0.83125,0.83125,0.8844401041666667,0.5982142857142857
Img_SE_Gated,5,0.3200000000000002,0.859375,0.7628865979381443,0.7708333333333334,0.7668393782383419,0.9013452914798207,0.8973214285714286,0.8993288590604027,0.8321159447089825,0.8340773809523809,0.8330841186493723,0.8598076834173177,0.859375,0.8595820148137845,0.9004371279761905,0.6661904381808632
